,Title,Company,Location,KeySkills
0,Backend Developer,Codeware Lab,"Dharmasthal Marg, Kathmandu 44600, Nepal","['Communication', 'Teamwork', 'Java', 'Analytical Skills', 'Qa']"
1,Asp. Net Developer,Exotrac,Old Baneshwor,"['Html', 'Css', 'Javascript']"
2,Linux Ninja Wanted ( Excellent …,Tech Central,"Kathmandu, Nepal","['Communication', 'Problem Solving', 'Linux', 'Troubleshooting']"
3,Senior Laravel Web Developer,SabKura.com,"New Baneshwor, Kathmandu, Nepal","['Php', 'Html', 'Css', 'Javascript', 'Vue Js']"
4,Senior Software Engineer (Pytho…,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Teamwork', 'Problem Solving', 'Analytical Skills', 'Python Programming Language']"
5,SEO Expert,Discovery World Trekking,Kathmandu,"['Javascript', 'React', 'Blogging', 'Search Engine Optimization (Seo)', 'Link Building', 'Google Console', 'Keyboard Ranking']"
6,Senior Backend Developer,Hamro Academy,New Baneshwor,"['Html', 'Css', 'Javascript', 'Mongodb', 'Node.Js']"
7,Senior Laravel Developer,Resimator (Oy),Mahakavi Marg 29 Dillibazar,"['Php', 'Javascript', 'Mysql', 'Ajax', 'Laravel Framework']"
8,Jr. IT Associate,Daraz,"Kathmandu, Nepal",[]
9,Customer Care Trainee,UBA Solutions,"Imadol, Lalitpur, Nepal","['Problem Solving', 'Css', 'Html5', 'Adobe Photoshop', 'Microsoft Office Suite']"
10,Lead Site Reliability Engineer …,UBA Solutions,"Imadol, Lalitpur, Nepal","['Team Management', 'Linux', 'Aws', 'Windows', 'Monitoring Tools', 'Scripting']"
11,Site Reliability Engineer I (SR…,UBA Solutions,"Imadol, Lalitpur, Nepal","['Linux', 'Aws', 'Windows', 'Monitoring Tools']"
12,Software Development Engineer i…,UBA Solutions,"Imadol, Lalitpur, Nepal","['Javascript', 'Jmeter', 'Selenium', 'Automation Testing', 'Cypress']"
13,Security Engineer - SecOps,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Teamwork', 'Java', 'Python', 'Linux', 'Analytical Skills']"
14,Senior DevOps Engineer,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Python', 'Linux', 'Analytical Skills', 'Problem-Solving Skills', 'Attention to Detail']"
15,Computer Repair Technician/Inst…,Tech Central,"Kathmandu, Nepal","['Communication', 'Problem Solving', 'Time Management', 'Critical Thinking', 'Organizational']"
16,IT Officer,Hulas Wire Industries Limited,"KHANAR,BIRATNAGAR",[]
17,Senior WordPress Developer (Tea…,Outpace,Remote,"['Php', 'Html', 'Css', 'Javascript', 'Wordpress']"
18,Technical Writer ( Customer Suc…,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Communication', 'Linux', 'Analytical Skills', 'Networking Skills', 'Technical Writing']"
19,Senior Solutions Engineer,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Communication', 'Problem Solving', 'Time Management', 'Analytical Skills', 'Interpersonal Skills']"
20,Customer Success Engineer,Logpoint Nepal,"Jawalakhel ,Lalitpur","['Communication', 'Problem Solving', 'Java', 'Python', 'Analytical Skills']"
21,Front End /WordPress Developer,Worldlink Parijat,"Kathmandu, Nepal","['Communication', 'Php', 'Html', 'Css', 'Javascript']"
22,IT System Officer,Aligned Community Care,Kathmandu,"['Html', 'Css', 'Website Development']"
23,Business Intelligence Analyst,CG Communications ltd,"Trade Tower, Thapathali Kathmandu","['Communication', 'Problem Solving', 'Data Analysis', 'Analytical Skills', 'Sql']"
24,Senior Business Analyst,INFICARE,"Kathmandu, Nepal","['Communication', 'Problem Solving', 'Multitasking', 'Time Management', 'Analytical', 'Organizational']"
25,Quality Analyst,INFICARE,"Kathmandu, Nepal","['Communication', 'Problem Solving', 'Time Management', 'Analytical', 'Project Management', 'Organizational']"
26,Support Analyst-Technical,Nepal Clearing House,"Kathmandu, Nepal",[]
27,Product Officer,CG Communications ltd,"Trade Tower, Thapathali Kathmandu","['Communication', 'Problem Solving', 'Analytical Skills']"
28,System Analyst - Payment Systems,Nepal Clearing House,"Kathmandu, Nepal",[]
29,Technical Analyst - Network & C…,Nepal Clearing House,"Kathmandu, Nepal",[]
30,iOS Developer,Nepal Clearing House,"Kathmandu, Nepal",[]
31,Jr. Android Developer,Nepal Clearing House,"Kathmandu, Nepal",[]
32,QA Engineer,Nepal Clearing House,"Kathmandu, Nepal",[]
33,Business Analyst,Nepal Clearing House,"Kathmandu, Nepal",[]
34,Fellowship Interns,Nepal Clearing House,"Kathmandu, Nepal",[]
35,STB QA Engineer,Dish Media Network,Kathmandu,"['Communication', 'Teamwork', 'Ms-Office']"
36,Senior React Front End Developer,Nebula Technology,Remote,[]
37,Quality Assurance Officer,Khalti Digital Wallet,"Bakhundole, Lalitpur","['Communication', 'Teamwork', 'Problem Solving', 'Analytical', 'Project Management']"
38,Paid internship/Core banking So…,Planet Earth Solutions,"Satdobato,Lalitpur","['Management', 'Communication', 'Accounting', 'Interpersonal Skills']"
39,Software Developer .NET,Perfect Active Solutions,"Old Baneshwor,Kathmandu","['Javascript', 'Jquery', 'Sql Server', 'Programming Skills']"
40,IOS Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","['Coredata', 'Cocoa Touch', 'Orm And Rdbms']"
41,Project Manager,EBPearls,Kathmandu,[]
42,QA Software Engineers,Dolphin Dive Technology,"Sanepa, Lalitpur",[]
43,DevOps Engineer,ThinkMove Solutions,"Kathmandu, Nepal","['Management', 'Communication', 'Multitasking', 'Javascript', 'Python', 'Problem Solving Skill', 'Node.Js']"
44,IOS Developer,ThinkMove Solutions,"Kathmandu, Nepal","['Management', 'Communication', 'Multitasking', 'Problem Solving Skill', 'Firebase', 'Restful Api']"
45,Asst. IT System Administrator,K&A Engineering Consulting P.C,"Sanepa, Lalitpur","['Communication', 'Teamwork', 'Interpersonal Skills', 'Microsoft Active Directory (Ad)']"
46,Operation Support Coordinator,K&A Engineering Consulting P.C,"Sanepa, Lalitpur","['Communication', 'Teamwork', 'Interpersonal Skills', 'Organizational']"
47,Data Analyst,Dish Media Network,"Chyasikot, Lalitpur",[]
48,Data Engineer,Dish Media Network,"Chyasikot, Lalitpur",[]
49,DBA Engineer,Dish Media Network,"Chyasikot, Lalitpur",[]
50,IT Security Engineer,Dish Media Network,"Chyasikot, Lalitpur",[]
51,SEO Content Writer,Aqore Software,"New Baneshwor, Kathmandu","['Communication', 'Content Writing', 'Creativity Skills', 'Search Engine Optimization (Seo)']"
52,Flutter Developer,Aqore Software,"New Baneshwor, Kathmandu","['Mobile Application Development', 'Flutter']"
53,Database Administrator,Aqore Software,"New Baneshwor, Kathmandu","['Communication', 'Database Administration', 'Ms Sql']"
54,Full Stack Developer,Aqore Software,"New Baneshwor, Kathmandu","['Asp.Net', 'Angular', 'Ms Sql']"
55,Web Developer (Laravel),View9,"Sankhamul, Kathmandu","['Javascript', 'Angularjs', 'Node.Js', 'Linux/Unix']"
56,Associate System and Network En…,Aqore Software,"New Baneshwor, Kathmandu","['Communication', 'Networking Skills']"
57,Lead Cloud Infrastructure Engin…,Aqore Software,"New Baneshwor, Kathmandu","['Communication', 'Critical Thinking', 'Network Security', 'Cloud Security', 'Cloud Application']"
58,IT Support,Softech Infosys,Kathmandu,"['Communication', 'Problem Solving', 'Customer Service', 'Interpersonal Skills']"
59,System Administrator,Karnali Network Services Pvt. Ltd.,Work From Home,"['Communication', 'Network', 'System Administration', 'Vpn', 'M365']"
