job_category,job_level,no_of_vacancy,employment_type,offered_salary,education_level,experience_required
"IT & Telecommunication
 > Programmer/ Software Engineer",Mid Level,[ 25 ],Full Time,"NRs. 200,000.00 - 500,000.00 Monthly",Bachelor,More than or equals to 3 years
"IT & Telecommunication
 > Database Engineer/Database Programmer, Programmer/ Software Engineer, Web Developer/Web Designer",Senior Level,[ 10 ],Full Time,"$. 1,000.00 - 1,500.00 Monthly",Bachelor,More than or equals to 3 years
IT & Telecommunication,Mid Level,[ 10 ],Full Time,Negotiable,Bachelor,More than or equals to 5 years
"IT & Telecommunication
 > Content Developer, Database Engineer/Database Programmer, Programmer/ Software Engineer, Technical Lead (Software)",Mid Level,[ 5 ],Full Time,"NRs. 80,000.00 - 160,000.00 Monthly",Bachelor,More than or equals to 4 years
IT & Telecommunication,Senior Level,[ 5 ],Full Time,Negotiable,Bachelor,More than or equals to 5 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,"NRs. 20,000.00 - 35,000.00 Monthly",Bachelor,More than or equals to 2 years
"IT & Telecommunication
 > Programmer/ Software Engineer, Web Developer/Web Designer",Senior Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
"IT & Telecommunication
 > Programmer/ Software Engineer",Senior Level,[ 2 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Entry Level,[ 5 ],Traineeship,Negotiable,Bachelor,Less than 1 year
IT & Telecommunication,Senior Level,[ 2 ],Full Time,Negotiable,Bachelor,More than or equals to 5 years
IT & Telecommunication,Entry Level,[ 6 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 4 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Senior Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 4 years
"IT & Telecommunication
 > H/W Installation/ Maintenance",Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Senior Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 5 years
"IT & Telecommunication
 > Programmer/ Software Engineer",Senior Level,[ 1 ],Full Time,"NRs. 100,000.00 - 170,000.00 Monthly",Bachelor,More than or equals to 5 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Senior Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 4 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Mid Level,[ 3 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
"IT & Telecommunication
 > IT System Management",Mid Level,[ 1 ],Full Time,"NRs. 40,000.00 - 80,000.00 Monthly",Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Senior Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 5 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Mid Level,[ 2 ],Full Time,Negotiable,Master,More than or equals to 1 year
IT & Telecommunication,Entry Level,[ 4 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Entry Level,[ 9 ],Full Time,Negotiable,Bachelor,Not Required
IT & Telecommunication,Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Senior Level,[ 3 ],Part Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 2 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Entry Level,[ 15 ],Full Time,"NRs. 10,000.00 Monthly",Intermediate,Not Required
"IT & Telecommunication
 > Programmer/ Software Engineer",Mid Level,[ 4 ],Full Time,"NRs. 30,000.00 - 80,000.00 Monthly",Bachelor,More than or equals to 1 year
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 2 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
"IT & Telecommunication
 > Programmer/ Software Engineer, Test Engineer",Mid Level,[ 3 ],Full Time,$. 300.00 - 500.00 Monthly,Bachelor,More than or equals to 1 year
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,"NRs. 80,000.00 - 100,000.00 Monthly",Bachelor,More than or equals to 2 years
"IT & Telecommunication
 > IT System Management",Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,Less than or equals to 1 year
IT & Telecommunication,Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,Less than 1 year
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 3 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 4 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 1 year
IT & Telecommunication,Mid Level,[ 3 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
"IT & Telecommunication
 > Web Developer/Web Designer",Mid Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 2 years
IT & Telecommunication,Entry Level,[ 1 ],Full Time,Negotiable,Bachelor,Less than or equals to 1 year
IT & Telecommunication,Senior Level,[ 1 ],Full Time,Negotiable,Bachelor,More than or equals to 5 years
"IT & Telecommunication
 > Customer Support, Desktop Support",Mid Level,[ 5 ],Full Time,"NRs. 16,000.00 - 21,000.00 Monthly",Bachelor,More than or equals to 1 year
"IT & Telecommunication
 > IT System Management, Network Engineer/ Network Administrator, System Engineer (Computer Network & System)",Mid Level,[ 1 ],Full Time,"NRs. 25,000.00 Monthly",Bachelor,More than or equals to 2 years
